seed,loss,corrupt,original,retransmissions,delivered,acks_sent,corrupted,lost_ratio,corrupt_ratio,avg_rtt,avg_comm_time
100,0.0,0.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,11.761039155247635,11.761039155247635
200,0.0,0.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,11.989981078524142,11.989981078524142
300,0.0,0.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,11.995768547624161,11.995768547624161
400,0.0,0.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,12.27148428146919,12.27148428146919
500,0.0,0.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,11.792683980834365,11.792683980834365
100,0.1,0.0,500.0,176.0,500.0,607.0,0.0,0.13717848791894,0.0,12.884580388318943,23.30019284150751
200,0.1,0.0,500.0,263.0,500.0,678.0,0.0,0.1825121443442054,0.0,14.610623668095506,32.21513644825592
300,0.1,0.0,500.0,196.0,499.0,621.0,0.0,0.14882308276385725,0.0,14.15747049977913,25.298807400383264
400,0.1,0.0,500.0,182.0,499.0,619.0,0.0,0.1398923904688701,0.0,14.368327443380267,24.242574751847442
500,0.1,0.0,500.0,204.0,500.0,627.0,0.0,0.15326821938392185,0.0,13.366670438718387,25.339761284218827
100,0.2,0.0,500.0,587.0,499.0,880.0,0.0,0.2984239959328927,0.0,16.002535682400094,57.85943137839765
200,0.2,0.0,500.0,847.0,496.0,1060.0,0.0,0.3518903199002908,0.0,20.014975902115285,87.18689836696443
300,0.2,0.0,500.0,862.0,499.0,1070.0,0.0,0.35444078947368424,0.0,17.878362941939063,88.20182826054327
400,0.2,0.0,500.0,443.0,500.0,771.0,0.0,0.25845974329054844,0.0,16.727538682210664,47.88285222442313
500,0.2,0.0,500.0,547.0,498.0,835.0,0.0,0.2906482465462274,0.0,16.15969143331404,51.6657075691809
100,0.3,0.0,487.0,1592.0,480.0,1444.0,0.0,0.4518875957990349,0.0,37.30309762871164,158.77855616613115
200,0.3,0.0,473.0,1442.0,465.0,1326.0,0.0,0.4449244060475162,0.0,39.752679525131754,150.65693913788834
300,0.3,0.0,463.0,1482.0,455.0,1378.0,0.0,0.44598254589226605,0.0,30.838629935507498,153.44133460460267
400,0.3,0.0,480.0,1537.0,473.0,1418.0,0.0,0.44745269286754,0.0,38.66188848536548,160.9851972297467
500,0.3,0.0,431.0,1736.0,423.0,1495.0,0.0,0.4740578918623703,0.0,45.51231639846651,185.4966907618593
100,0.0,0.1,500.0,187.0,500.0,687.0,150.0,0.026928675400291122,0.11219147344801796,13.876533645930078,24.058801416058863
200,0.0,0.1,500.0,189.0,497.0,689.0,133.0,0.040638606676342524,0.10060514372163389,13.9536901116638,24.66490811687347
300,0.0,0.1,500.0,151.0,500.0,651.0,118.0,0.02534562211981567,0.09298660362490149,13.669884646597358,21.878972991119156
400,0.0,0.1,112.0,2404.0,104.0,1812.0,346.0,0.4755083179297597,0.1524229074889868,14.008819849238563,623.3390383382905
500,0.0,0.1,500.0,176.0,500.0,676.0,133.0,0.031804733727810654,0.10160427807486631,13.283879660373543,25.01797839289527
100,0.0,0.2,301.0,1647.0,293.0,1595.0,624.0,0.2887383573243014,0.24761904761904763,14.625225921743734,189.03625130211447
200,0.0,0.2,118.0,2211.0,111.0,1710.0,663.0,0.38326318395642484,0.2661581694098756,15.858700907363476,542.6521608491911
300,0.0,0.2,262.0,1634.0,254.0,1448.0,558.0,0.32177033492822965,0.24603174603174602,17.275284203619538,191.49422395155108
400,0.0,0.2,131.0,2315.0,123.0,1797.0,717.0,0.37662031581428235,0.2710775047258979,25.794756920072036,588.0243475676125
500,0.0,0.2,288.0,1707.0,280.0,1569.0,626.0,0.30331088664421996,0.25211437776882806,15.955317850276291,189.87335123752493
100,0.0,0.3,100.0,2413.0,94.0,1833.0,1067.0,0.3097100782328578,0.3556666666666667,19.736370942309833,706.3576407732588
200,0.0,0.3,125.0,2241.0,117.0,1715.0,1009.0,0.3018867924528302,0.3541593541593542,16.52958769493698,555.4584986093221
300,0.0,0.3,160.0,2062.0,152.0,1662.0,1005.0,0.27214212152420186,0.35550053059780684,17.256468834062147,402.25163314181634
400,0.0,0.3,87.0,2457.0,79.0,1789.0,1078.0,0.3182552504038772,0.36492890995260663,21.912747581408127,779.9449847851708
500,0.0,0.3,194.0,2084.0,188.0,1746.0,1044.0,0.2584493041749503,0.34986595174262736,21.500281448476358,318.6131413029959
